"Fiscal Year","Entity","Employee","Title","Wages","Benefits","Total"
"2025","American Fork City","Frost, Bradley J.","Mayor","26800","44155.22","70955.22"
"2024","American Fork City","Frost, Bradley J.","Mayor","24700","29142.08","53842.08"
"2023","American Fork City","Frost, Bradley J.","Mayor","24700","28424.17","53124.17"
"2022","American Fork City","Frost, Bradley J.","Mayor","24700","27287.74","51987.74"
"2021","American Fork City","Frost, Bradley J.","Mayor","18361.6","26495.28","44856.88"
"2020","American Fork City","Frost, Bradley J.","Mayor","14400.1","26528.21","40928.31"
"2019","American Fork City","Frost, Bradley J.","Mayor","14400.1","24632.28","39032.38"
"2018","American Fork City","Frost, Bradley J.","Mayor","10038.66","19066.78","29105.44"
"2017","American Fork City","Frost, Bradley J.","Council","6281","18808.14","25089.14"
"2016","American Fork City","Frost, Bradley J.","Council","6129.08","17488.45","23617.53"
"2015","American Fork City","Frost, Bradley J.","Council","6231.06","19746.85","25977.91"
"2014","American Fork City","Frost, Bradley J.","Council","9000.16","15797.36","24797.52"
